T,a,P,rho
280.226500000000,335.582835881113,87512.6832464798,1.08792735714872
280.220000000000,335.578943848985,87502.0148586431,1.08781996399958
280.213500000000,335.575051771716,87491.3475239328,1.08771257896084
280.207000000000,335.571159649306,87480.6812422695,1.08760520203208
280.200500000000,335.567267481752,87470.0160135735,1.08749783321286
280.194000000000,335.563375269054,87459.3518377653,1.08739047250278
280.187500000000,335.559483011209,87448.6887147655,1.08728311990139
280.181000000000,335.555590708216,87438.0266444945,1.08717577540828
280.174500000000,335.551698360074,87427.3656268727,1.08706843902302
280.168000000000,335.547805966780,87416.7056618208,1.08696111074520
280.161500000000,335.543913528334,87406.0467492591,1.08685379057437
280.155000000000,335.540021044733,87395.3888891082,1.08674647851013
280.148500000000,335.536128515977,87384.7320812885,1.08663917455204
280.142000000000,335.532235942063,87374.0763257208,1.08653187869968
280.135500000000,335.528343322990,87363.4216223252,1.08642459095263
280.129000000000,335.524450658756,87352.7679710225,1.08631731131046
280.122500000000,335.520557949360,87342.1153717332,1.08621003977275
280.116000000000,335.516665194801,87331.4638243776,1.08610277633907
280.109500000000,335.512772395076,87320.8133288765,1.08599552100901
280.103000000000,335.508879550184,87310.1638851502,1.08588827378213
280.096500000000,335.504986660124,87299.5154931195,1.08578103465801
280.090000000000,335.501093724894,87288.8681527047,1.08567380363623
280.083500000000,335.497200744492,87278.2218638265,1.08556658071636
280.077000000000,335.493307718917,87267.5766264055,1.08545936589799
280.070500000000,335.489414648167,87256.9324403620,1.08535215918067
280.064000000000,335.485521532241,87246.2893056167,1.08524496056400
280.057500000000,335.481628371137,87235.6472220903,1.08513777004754
280.051000000000,335.477735164854,87225.0061897031,1.08503058763088
280.044500000000,335.473841913390,87214.3662083758,1.08492341331359
280.038000000000,335.469948616743,87203.7272780291,1.08481624709524
280.031500000000,335.466055274912,87193.0893985834,1.08470908897541
280.025000000000,335.462161887895,87182.4525699593,1.08460193895368
280.018500000000,335.458268455690,87171.8167920775,1.08449479702962
280.012000000000,335.454374978297,87161.1820648585,1.08438766320281
280.005500000000,335.450481455714,87150.5483882229,1.08428053747282
279.999000000000,335.446587887938,87139.9157620913,1.08417341983923
279.992500000000,335.442694274968,87129.2841863843,1.08406631030162
279.986000000000,335.438800616804,87118.6536610226,1.08395920885957
279.979500000000,335.434906913443,87108.0241859267,1.08385211551264
279.973000000000,335.431013164883,87097.3957610172,1.08374503026041
279.966500000000,335.427119371124,87086.7683862149,1.08363795310247
279.960000000000,335.423225532163,87076.1420614402,1.08353088403838
279.953500000000,335.419331647998,87065.5167866138,1.08342382306773
279.947000000000,335.415437718630,87054.8925616565,1.08331677019008
279.940500000000,335.411543744055,87044.2693864887,1.08320972540502
279.934000000000,335.407649724272,87033.6472610311,1.08310268871212
279.927500000000,335.403755659280,87023.0261852044,1.08299566011096
279.921000000000,335.399861549077,87012.4061589293,1.08288863960111
279.914500000000,335.395967393661,87001.7871821263,1.08278162718215
279.908000000000,335.392073193032,86991.1692547162,1.08267462285366
279.901500000000,335.388178947187,86980.5523766196,1.08256762661521
279.895000000000,335.384284656124,86969.9365477571,1.08246063846638
279.888500000000,335.380390319843,86959.3217680495,1.08235365840674
279.882000000000,335.376495938341,86948.7080374175,1.08224668643587
279.875500000000,335.372601511617,86938.0953557816,1.08213972255335
279.869000000000,335.368707039670,86927.4837230625,1.08203276675875
279.862500000000,335.364812522498,86916.8731391810,1.08192581905166
279.856000000000,335.360917960099,86906.2636040579,1.08181887943163
279.849500000000,335.357023352471,86895.6551176136,1.08171194789826
279.843000000000,335.353128699614,86885.0476797690,1.08160502445112
