time (sec),density (kg/m^3),y acceleration (m/s^2)
131.6877045,0.629435026,0.024209764
131.6945874,0.629445065,0.024209276
131.7014702,0.629455104,0.024208787
131.7097932,0.629467243,0.024208194
131.7181163,0.629479382,0.024207599
131.7264393,0.629491522,0.024207016
131.7347623,0.629503661,0.02420643
131.7401743,0.629511555,0.024206048
131.7455863,0.629519449,0.024205664
131.7509982,0.629527342,0.024205279
131.7564102,0.629535236,0.024204893
131.7618222,0.62954313,0.024204506
131.7672342,0.629551024,0.024204121
131.7726462,0.629558918,0.024203742
131.7780582,0.629566812,0.024203362
131.7852991,0.629577373,0.024202852
131.79254,0.629587935,0.024202339
131.7997809,0.629598496,0.024201825
131.8070218,0.629609058,0.024201308
131.8142627,0.62961962,0.02420079
131.8215036,0.629630181,0.024200283
131.8287445,0.629640743,0.024199774
131.8359854,0.629651305,0.024199263
131.8426577,0.629661038,0.024198791
131.84933,0.62967077,0.024198316
131.8560024,0.629680503,0.02419784
131.8626747,0.629690236,0.024197363
131.8719617,0.629703782,0.024196713
131.8812487,0.629717329,0.024196059
131.8905356,0.629730876,0.024195402
131.8998226,0.629744423,0.024194742
131.9085781,0.629757194,0.024194116
131.9173336,0.629769966,0.0241935
131.926089,0.629782738,0.024192885
131.9348445,0.629795509,0.024192267
131.9411797,0.629804751,0.024191818
131.947515,0.629813992,0.024191367
131.9538502,0.629823234,0.024190915
131.9601854,0.629832475,0.024190463
131.9665206,0.629841717,0.02419002
131.9728558,0.629850958,0.024189575
131.979191,0.6298602,0.024189129
131.9855262,0.629869441,0.024188681
131.9895932,0.629875374,0.024188393
131.9936603,0.629881307,0.024188104
131.9977273,0.62988724,0.024187814
132.0017943,0.629893173,0.024187524
132.0058613,0.629899106,0.024187233
132.0099283,0.629905039,0.024186945
132.0139953,0.629910972,0.024186661
132.0180623,0.629916905,0.024186376
132.0238703,0.629925377,0.024185968
132.0296783,0.62993385,0.024185558
132.0354862,0.629942323,0.024185147
132.0412942,0.629950796,0.024184735
132.0501038,0.629963647,0.024184107
132.0589133,0.629976499,0.024183481
132.0677228,0.629989351,0.024182864
132.0765324,0.630002202,0.024182245
132.0853419,0.630015054,0.024181621
132.0941514,0.630027906,0.024180995
132.102961,0.630040758,0.024180366
132.1117705,0.63005361,0.024179747
